House number,listing_id,city,address,property_type,price,total_square_ft,above_square_ft,bed,bath,list_date,hoa
169,IR966855,Greeley,9009 18th Street,Residential,"$819,900","4,392","2,297",5,5,05/28/2022,Yes
170,IR966853,Greeley,2125 44th Avenue,Residential,"$450,000","2,510","1,784",5,4,05/28/2022,No
171,IR966752,Boulder,2930 Shadow Creek Drive Unit# 304,Residential,"$515,000",955,955,2,2,05/27/2022,Yes
172,IR966732,Fort Collins,"3449 Laredo Lane, Bldg D",Residential,"$410,000","1,270","1,270",2,2,05/26/2022,Yes
173,IR966693,Longmont,3974 Hawthorne Circle,Residential,"$898,000","2,719","1,851",5,4,05/26/2022,Yes
174,IR966634,Greeley,1777 AA Street,Residential,"$2,499,000","4,288","2,144",5,3,05/26/2022,No
175,IR966592,Estes Park,639 Park River Place,Residential,"$830,000","1,876","1,292",3,3,05/25/2022,Yes
176,IR966583,Loveland,294 Polk Drive,Residential,"$550,000","2,455","1,645",4,4,05/24/2022,Yes
177,IR966551,Boulder,4674 White Rock Circle Unit# 5,Residential,"$400,000",887,887,2,2,05/25/2022,Yes
178,IR966478,Lyons,536 Taylor Road,Residential,"$649,000","1,344",672,2,2,05/24/2022,No
179,IR966384,Fort Collins,3337 Hickok Drive,Residential,"$515,000","1,586",818,3,2,05/23/2022,No
180,IR966286,Evans,3715 Ironhorse Drive,Residential,"$450,000","2,692","1,346",3,3,05/20/2022,Yes
181,3306421,Denver,"3550 S Harlan Street Unit# 157, Bldg 6",Residential,"$320,000","1,296","1,296",2,3,05/27/2022,Yes
182,8100678,Denver,240 Colorado Boulevard,Residential,"$999,900","2,913","2,201",4,4,05/27/2022,No
183,2584315,Denver,100 Park Avenue W Unit# 705,Residential,"$350,000",664,664,1,1,05/27/2022,Yes
184,7033082,Silverthorne,384 W Coyote Drive,Residential,"$1,250,000","1,704","1,704",3,3,05/27/2022,Yes
185,9296592,Trinidad,1031 Robinson Avenue,Residential,"$140,000",839,839,2,1,05/27/2022,No
